AreaType,AQI,PM2.5,PM10,NO2,SO2,CO,O3,TrafficDensity,RoadDistance,DustIndex,Temperature,Humidity,Rainfall,WindSpeed,Sunlight,SoilType,SoilPH,Drainage,SpaceType,AreaSize,MaintenanceLevel,WateringPreference,Purpose,RecommendedPlant
Urban,84,23.35,32.69,5.1,5.14,123.33,60.43,High,5,59,36,50,40,7,Partial Shade,Clay,6.6,Moderate,Balcony,Large,Low,Rare,Shade,Gulmohar
Rural,67,16.75,17.88,8.95,3.73,115.69,32.65,Low,38,10,32,61,186,11,Full Sun,Loamy,7.3,Good,Outdoor,Large,Medium,Regular,Decoration,Karanj
Residential,111,43.4,34.16,6.22,3.08,162.31,61.02,Medium,60,53,29,95,205,3,Full Sun,Sandy,7.4,Good,Balcony,Medium,Low,Rare,Edible,Peepal
Rural,88,29.35,37.15,9.59,4.89,126.28,37.76,High,5,63,28,63,249,14,Partial Shade,Loamy,6.7,Moderate,Outdoor,Medium,High,Regular,Shade,Neem
Rural,87,37.75,44.14,16.17,4.88,107.51,37.92,Low,39,27,33,87,288,11,Full Sun,Loamy,6.5,Good,Outdoor,Large,High,Regular,Air Purification,Peepal
Residential,59,22.33,27.86,10.32,5.91,125.01,52.51,Medium,22,60,21,57,258,8,Partial Shade,Sandy,6.6,Moderate,Indoor,Large,Low,Regular,Decoration,Guava
Residential,102,57.0,56.12,11.99,3.54,165.73,44.65,Medium,50,61,40,48,36,11,Partial Shade,Sandy,6.3,Poor,Outdoor,Large,High,Regular,Air Purification,Gulmohar
Urban,85,27.22,36.56,5.26,2.34,148.75,46.94,Medium,47,68,29,63,187,2,Partial Shade,Loamy,6.8,Good,Indoor,Small,High,Frequent,Shade,Karanj
Rural,82,31.39,21.48,9.14,3.04,115.03,36.03,Low,54,34,30,43,97,14,Full Sun,Clay,6.1,Moderate,Outdoor,Medium,Low,Rare,Decoration,Peepal
Urban,81,23.97,40.77,6.11,4.62,127.76,44.16,Low,84,37,34,52,143,3,Partial Shade,Loamy,5.9,Moderate,Indoor,Large,Medium,Regular,Shade,Karanj
Residential,100,41.79,37.37,16.77,1.92,120.65,64.22,Medium,44,59,29,72,176,4,Full Sun,Sandy,5.8,Poor,Balcony,Small,Medium,Rare,Air Purification,Karanj
Urban,96,36.92,45.33,8.74,3.69,183.75,50.7,Medium,60,65,37,48,85,10,Full Sun,Loamy,6.4,Good,Outdoor,Large,Medium,Regular,Air Purification,Banyan
Rural,85,24.88,21.42,6.51,3.41,111.83,41.47,Low,100,39,24,71,55,4,Partial Shade,Loamy,7.4,Good,Outdoor,Large,High,Regular,Shade,Gulmohar
Residential,89,30.07,39.18,9.14,5.46,162.08,43.72,Low,58,32,38,41,0,2,Full Sun,Loamy,6.3,Good,Balcony,Small,High,Regular,Edible,Ashoka
Urban,127,52.74,62.96,10.3,3.8,161.68,57.79,High,10,90,27,57,114,5,Full Sun,Sandy,6.2,Good,Indoor,Small,Medium,Regular,Air Purification,Ashoka
Urban,80,36.51,42.24,10.14,2.98,136.45,43.93,High,5,97,34,73,158,0,Partial Shade,Loamy,6.3,Good,Indoor,Large,Medium,Regular,Decoration,Karanj
Urban,77,19.52,34.33,16.22,3.89,123.53,45.46,High,16,77,34,49,227,3,Partial Shade,Loamy,6.1,Good,Balcony,Medium,Medium,Regular,Shade,Karanj
Residential,60,19.6,28.79,7.43,1.68,105.06,42.78,Low,55,50,24,40,0,10,Full Shade,Clay,7.3,Moderate,Outdoor,Large,Medium,Frequent,Air Purification,Jamun
Rural,101,46.86,42.44,7.4,2.64,158.27,45.93,Low,74,43,26,25,230,6,Partial Shade,Clay,7.4,Good,Balcony,Small,Low,Rare,Shade,Banyan
Urban,102,35.26,44.45,10.55,6.67,141.97,54.84,High,36,39,36,45,0,5,Partial Shade,Sandy,6.3,Good,Indoor,Small,Medium,Regular,Edible,Jamun
Residential,75,28.45,40.51,3.67,3.89,97.21,30.27,High,43,61,23,89,295,2,Partial Shade,Sandy,6.2,Good,Indoor,Small,Medium,Frequent,Decoration,Jamun
Residential,61,28.89,23.62,18.98,4.45,109.97,38.91,Medium,28,60,30,87,235,9,Partial Shade,Clay,7.1,Moderate,Balcony,Small,Medium,Rare,Edible,Ashoka
Urban,57,13.42,22.72,14.33,3.6,129.21,30.99,High,5,82,34,57,221,1,Partial Shade,Sandy,5.7,Good,Balcony,Small,Medium,Regular,Air Purification,Gulmohar
Residential,103,30.95,34.62,16.26,3.71,153.15,49.77,Medium,37,55,30,61,152,19,Full Shade,Loamy,6.1,Good,Outdoor,Medium,Medium,Regular,Shade,Karanj
Residential,102,34.32,52.01,14.19,2.95,134.98,54.25,Low,75,45,28,25,23,11,Full Sun,Loamy,6.4,Moderate,Outdoor,Medium,High,Frequent,Decoration,Arjun
Rural,99,42.5,43.02,10.25,2.92,198.82,59.31,Medium,10,50,31,63,235,19,Full Shade,Loamy,6.8,Moderate,Outdoor,Medium,High,Regular,Decoration,Banyan
Residential,59,28.19,18.68,6.74,1.47,111.2,34.95,Medium,49,47,24,65,105,0,Partial Shade,Sandy,7.0,Moderate,Indoor,Large,Low,Rare,Shade,Guava
Residential,95,38.27,50.48,9.67,2.56,129.94,50.86,Low,72,47,21,53,0,6,Partial Shade,Loamy,5.8,Good,Indoor,Small,Low,Regular,Edible,Neem
Residential,91,31.8,41.41,19.7,2.36,180.12,48.52,High,39,63,34,69,274,14,Full Sun,Sandy,6.5,Moderate,Outdoor,Large,Low,Regular,Shade,Karanj
Rural,80,35.78,31.23,8.43,4.37,99.82,31.18,Low,93,46,31,40,180,10,Partial Shade,Loamy,7.1,Good,Balcony,Medium,Low,Rare,Air Purification,Gulmohar
Rural,97,33.69,51.44,8.47,2.27,130.37,50.89,Medium,80,65,31,75,282,20,Full Sun,Clay,7.1,Moderate,Outdoor,Medium,Low,Rare,Edible,Jamun
Urban,84,33.79,36.11,9.14,5.41,153.19,59.16,High,45,65,23,43,1,2,Partial Shade,Loamy,6.9,Moderate,Indoor,Small,Medium,Regular,Decoration,Ashoka
Urban,100,41.07,33.01,13.07,4.93,132.92,56.64,High,27,89,34,67,224,13,Full Sun,Loamy,6.5,Good,Outdoor,Large,Medium,Frequent,Edible,Arjun
Rural,73,36.87,41.89,2.0,4.0,137.5,38.59,Low,100,33,26,42,59,7,Partial Shade,Loamy,7.0,Moderate,Outdoor,Large,Medium,Regular,Decoration,Mango
Rural,92,32.62,35.48,11.85,3.92,157.85,44.55,Low,91,31,31,89,336,8,Partial Shade,Sandy,5.7,Moderate,Outdoor,Medium,High,Frequent,Decoration,Arjun
Residential,99,33.09,69.31,2.0,4.39,186.28,45.73,Medium,29,52,20,61,111,11,Partial Shade,Clay,7.0,Poor,Balcony,Large,Low,Frequent,Shade,Arjun
Rural,45,25.22,18.9,11.94,1.52,116.88,36.96,Medium,34,67,38,54,205,11,Partial Shade,Loamy,7.3,Good,Outdoor,Large,Low,Regular,Air Purification,Jamun
Rural,70,33.93,16.84,2.0,1.64,113.25,40.89,Low,100,17,28,53,37,8,Full Sun,Loamy,7.4,Good,Outdoor,Medium,High,Regular,Edible,Jamun
Residential,79,25.41,50.78,5.9,2.5,116.79,33.01,Medium,10,53,28,79,136,4,Partial Shade,Sandy,7.1,Good,Indoor,Medium,Low,Regular,Air Purification,Neem
Urban,74,20.39,34.19,2.0,1.05,106.29,46.48,High,55,91,29,71,0,6,Full Shade,Loamy,6.7,Good,Indoor,Large,Medium,Frequent,Decoration,Karanj
Rural,85,37.96,41.31,16.85,4.04,115.65,49.13,Low,72,41,24,43,108,15,Full Sun,Loamy,7.0,Moderate,Outdoor,Large,Low,Regular,Shade,Peepal
Residential,120,32.35,57.02,12.75,2.9,176.09,56.44,Medium,43,59,30,54,128,14,Full Sun,Loamy,6.4,Good,Balcony,Small,Low,Regular,Air Purification,Banyan
Residential,66,14.22,20.4,16.85,3.76,85.71,40.65,Medium,43,62,26,81,221,2,Partial Shade,Clay,6.8,Moderate,Indoor,Large,Medium,Regular,Edible,Arjun
Residential,110,37.29,32.43,19.85,5.12,162.4,47.31,Medium,56,67,29,79,306,9,Partial Shade,Clay,7.0,Poor,Balcony,Small,High,Regular,Decoration,Karanj
Urban,36,14.49,34.31,10.24,2.27,70.0,40.09,High,41,95,42,55,0,0,Partial Shade,Loamy,6.7,Good,Indoor,Medium,Medium,Frequent,Air Purification,Guava
Residential,80,22.04,24.66,3.59,2.44,135.63,33.42,Medium,34,32,35,60,140,8,Full Sun,Sandy,6.3,Good,Outdoor,Large,Low,Regular,Air Purification,Banyan
Residential,92,33.69,55.31,10.94,2.29,132.55,47.1,Medium,10,46,26,47,159,10,Full Sun,Loamy,6.6,Good,Outdoor,Medium,Medium,Regular,Edible,Karanj
Rural,101,36.93,50.2,16.55,2.74,162.34,50.47,Low,62,47,33,28,11,16,Full Shade,Sandy,5.5,Good,Outdoor,Medium,Medium,Regular,Air Purification,Karanj
Residential,89,28.49,42.35,11.57,2.08,90.93,43.81,Medium,78,53,19,62,156,9,Full Shade,Loamy,6.2,Good,Indoor,Large,High,Frequent,Edible,Guava
Residential,103,48.19,43.08,9.79,3.87,169.89,51.42,Low,78,47,24,49,156,8,Partial Shade,Loamy,7.2,Good,Balcony,Large,High,Regular,Edible,Arjun
Residential,64,25.7,48.92,9.17,2.56,115.99,31.56,Medium,31,53,23,66,152,15,Full Sun,Loamy,6.3,Moderate,Balcony,Medium,Medium,Regular,Shade,Mango
Residential,69,31.54,27.0,10.0,5.73,112.12,36.16,Low,38,64,24,51,37,12,Full Sun,Loamy,6.4,Good,Balcony,Small,Low,Regular,Shade,Ashoka
Rural,96,24.94,38.57,4.73,6.47,155.62,41.94,Low,64,19,32,75,147,12,Full Sun,Clay,6.5,Moderate,Outdoor,Small,Low,Rare,Air Purification,Jamun
Rural,71,16.64,38.77,6.12,5.22,130.47,39.46,Medium,55,56,26,47,136,8,Full Shade,Sandy,5.8,Good,Outdoor,Large,Medium,Rare,Edible,Gulmohar
Rural,43,18.95,16.24,8.48,1.79,71.06,41.7,Low,100,34,27,57,312,18,Full Sun,Loamy,6.9,Good,Outdoor,Medium,Medium,Frequent,Decoration,Mango
Rural,65,34.58,22.78,11.35,0.63,119.58,42.47,Low,50,28,33,86,287,12,Full Sun,Loamy,7.0,Good,Outdoor,Large,High,Frequent,Shade,Neem
Urban,53,13.43,25.37,7.74,2.67,118.53,26.1,High,76,82,29,63,223,1,Partial Shade,Sandy,6.5,Good,Indoor,Small,Low,Regular,Decoration,Guava
Residential,98,35.2,50.24,9.19,3.37,119.43,47.57,Low,92,21,32,50,0,0,Partial Shade,Sandy,6.4,Good,Indoor,Large,Medium,Regular,Decoration,Banyan
Rural,92,24.95,57.25,9.51,3.62,146.07,47.25,Low,99,30,25,89,319,11,Full Sun,Sandy,5.7,Good,Outdoor,Large,Medium,Rare,Air Purification,Karanj
Rural,104,32.01,63.92,8.34,4.57,175.47,46.63,Medium,49,57,28,66,198,12,Partial Shade,Loamy,6.7,Good,Outdoor,Large,Medium,Frequent,Edible,Karanj
Urban,76,28.24,21.17,8.42,4.14,130.28,39.14,High,5,93,31,48,99,7,Full Sun,Clay,7.2,Poor,Balcony,Medium,Medium,Frequent,Air Purification,Arjun
Residential,93,29.73,50.98,13.77,0.92,134.89,56.81,High,5,76,26,95,400,3,Full Shade,Loamy,6.5,Poor,Balcony,Medium,Medium,Regular,Edible,Neem
Urban,93,24.86,34.77,20.08,5.53,118.7,35.89,Medium,33,49,33,69,193,2,Full Sun,Loamy,6.1,Moderate,Indoor,Medium,Low,Rare,Decoration,Ashoka
Residential,67,16.14,24.25,3.21,4.25,98.85,42.41,Medium,60,54,32,66,208,9,Partial Shade,Loamy,7.0,Good,Outdoor,Medium,Low,Rare,Edible,Guava
Residential,98,23.02,40.42,15.89,2.88,140.81,36.67,Low,48,40,33,38,67,12,Full Sun,Loamy,6.6,Poor,Outdoor,Large,Medium,Regular,Air Purification,Banyan
Urban,77,30.27,31.09,10.46,4.44,142.13,44.7,High,5,78,22,50,13,7,Full Sun,Loamy,7.3,Good,Outdoor,Large,Medium,Regular,Edible,Peepal
Rural,80,31.99,28.62,2.8,2.82,141.67,37.57,Low,52,33,31,72,128,8,Full Sun,Clay,7.7,Poor,Outdoor,Medium,Medium,Regular,Edible,Banyan
Urban,67,27.67,15.0,7.64,2.86,111.44,43.94,Low,64,38,26,60,297,8,Partial Shade,Loamy,7.2,Good,Balcony,Medium,Low,Regular,Decoration,Gulmohar
Rural,51,13.37,36.58,5.86,2.11,88.57,48.07,Low,65,32,22,75,400,9,Full Sun,Loamy,6.7,Poor,Balcony,Small,Low,Rare,Shade,Jamun
Rural,88,37.08,47.73,9.91,2.35,127.6,45.78,Low,56,40,28,62,137,19,Partial Shade,Loamy,6.2,Moderate,Outdoor,Small,Medium,Regular,Decoration,Jamun
Urban,63,27.03,29.92,11.86,0.81,135.64,47.5,Medium,45,55,31,53,94,0,Partial Shade,Clay,7.5,Moderate,Balcony,Small,Medium,Frequent,Decoration,Guava
Urban,72,25.8,26.09,16.38,7.06,95.91,45.89,Medium,27,59,29,38,94,9,Partial Shade,Loamy,6.6,Good,Balcony,Medium,Medium,Regular,Edible,Mango
Residential,84,28.78,48.75,14.74,4.26,135.09,48.1,Low,71,32,30,71,320,10,Partial Shade,Sandy,5.8,Moderate,Outdoor,Medium,Low,Rare,Air Purification,Guava
Rural,97,30.12,43.82,11.58,3.92,137.33,41.7,Low,100,10,22,76,86,8,Partial Shade,Clay,6.9,Moderate,Outdoor,Large,Low,Rare,Shade,Banyan
Rural,88,32.19,35.95,11.22,6.16,150.05,53.93,Low,77,12,30,74,131,0,Partial Shade,Clay,6.5,Good,Indoor,Small,Low,Rare,Shade,Guava
Urban,86,40.08,26.56,18.06,0.86,132.24,48.51,High,5,87,37,68,0,6,Partial Shade,Sandy,6.2,Good,Indoor,Medium,Low,Regular,Decoration,Karanj
Residential,79,34.9,41.08,4.88,2.8,106.67,35.99,High,10,76,33,71,138,0,Partial Shade,Sandy,6.0,Good,Indoor,Medium,Medium,Frequent,Air Purification,Karanj
Rural,88,29.5,37.88,14.89,2.52,166.27,39.73,High,18,69,22,90,324,10,Full Shade,Loamy,6.3,Good,Outdoor,Large,Low,Regular,Shade,Neem
Residential,40,18.43,22.48,2.0,1.26,96.12,26.92,Low,90,21,31,29,11,17,Partial Shade,Sandy,5.8,Good,Outdoor,Large,Low,Rare,Edible,Jamun
Rural,46,10.57,24.26,2.0,2.23,100.78,26.65,High,12,68,24,56,129,0,Partial Shade,Loamy,7.2,Good,Indoor,Medium,Low,Regular,Decoration,Jamun
Urban,56,24.86,32.2,9.56,1.82,82.2,34.94,Low,82,40,29,72,280,0,Partial Shade,Loamy,7.1,Good,Indoor,Small,Low,Rare,Shade,Arjun
Rural,64,18.13,32.21,2.0,0.5,109.04,42.51,Low,74,29,25,40,0,10,Partial Shade,Sandy,5.9,Poor,Outdoor,Large,Low,Rare,Shade,Arjun
Rural,84,33.86,36.44,7.99,1.8,120.7,43.31,Low,92,26,35,45,89,17,Full Sun,Loamy,6.6,Moderate,Outdoor,Large,Medium,Regular,Edible,Gulmohar
Rural,60,39.61,33.23,12.9,1.22,109.47,38.73,Low,81,43,32,84,168,3,Full Sun,Loamy,6.2,Moderate,Indoor,Medium,Medium,Frequent,Edible,Ashoka
Residential,77,23.99,43.54,5.27,2.44,93.42,33.93,Medium,27,73,34,77,288,13,Full Sun,Sandy,6.4,Moderate,Outdoor,Medium,High,Rare,Shade,Arjun
Residential,100,52.54,57.97,18.19,2.37,151.38,57.3,High,24,84,32,83,334,1,Partial Shade,Loamy,6.5,Good,Balcony,Large,Low,Frequent,Edible,Mango
Residential,64,26.06,21.51,2.0,2.45,129.84,44.64,Medium,32,18,20,66,99,4,Full Shade,Loamy,7.0,Moderate,Indoor,Large,Medium,Rare,Shade,Mango
Residential,104,31.82,56.17,15.54,3.7,142.99,65.95,High,30,84,27,48,40,0,Partial Shade,Sandy,6.7,Good,Indoor,Medium,Medium,Frequent,Decoration,Banyan
Residential,51,14.06,15.0,2.0,0.5,107.42,27.04,High,12,67,34,65,136,17,Full Sun,Loamy,6.2,Good,Outdoor,Large,Low,Frequent,Decoration,Mango
Residential,75,40.94,43.21,7.97,1.44,106.65,33.92,Medium,44,60,34,62,116,0,Full Sun,Loamy,7.0,Good,Indoor,Small,Low,Rare,Decoration,Ashoka
Residential,57,23.77,22.81,7.99,2.83,138.53,27.02,Low,55,32,29,30,29,6,Partial Shade,Sandy,5.7,Moderate,Balcony,Medium,High,Rare,Shade,Jamun
Urban,81,25.33,44.35,8.16,3.06,112.66,52.52,Medium,38,72,33,49,130,14,Partial Shade,Loamy,6.0,Good,Outdoor,Large,Low,Frequent,Edible,Karanj
Rural,106,35.76,60.06,10.51,1.34,151.39,42.1,Low,71,29,18,51,242,17,Full Sun,Loamy,6.6,Moderate,Outdoor,Large,Medium,Frequent,Air Purification,Banyan
Rural,41,18.11,22.65,2.0,3.24,78.58,28.03,Low,95,26,29,71,325,4,Full Shade,Clay,6.9,Good,Indoor,Medium,Low,Rare,Edible,Ashoka
Residential,87,30.66,40.16,15.49,4.32,119.94,34.79,Low,76,36,32,66,199,4,Full Sun,Sandy,6.8,Good,Balcony,Small,Medium,Regular,Decoration,Jamun
Residential,97,36.09,43.95,5.81,7.2,174.85,49.58,Medium,63,35,30,67,263,9,Full Sun,Sandy,6.8,Moderate,Outdoor,Large,Low,Rare,Decoration,Peepal
Urban,58,31.78,24.6,2.3,5.19,135.86,38.11,Medium,36,54,28,65,160,2,Partial Shade,Clay,6.8,Poor,Indoor,Large,Medium,Frequent,Decoration,Mango
Rural,44,9.75,31.48,5.57,0.84,87.15,35.33,Medium,80,56,29,65,207,8,Partial Shade,Clay,6.5,Moderate,Outdoor,Large,Medium,Regular,Decoration,Gulmohar
Rural,79,31.94,36.32,6.32,2.98,191.05,42.6,High,51,54,29,74,219,12,Partial Shade,Loamy,7.0,Moderate,Balcony,Large,Medium,Regular,Edible,Jamun
Rural,66,23.34,15.0,11.29,2.83,137.1,31.11,Low,61,53,39,85,225,14,Full Sun,Sandy,6.3,Good,Balcony,Small,Low,Regular,Edible,Jamun
Residential,97,31.02,51.81,8.6,5.62,165.02,52.6,Low,52,25,25,59,206,13,Partial Shade,Sandy,5.8,Moderate,Outdoor,Medium,Low,Regular,Decoration,Peepal
Residential,88,37.47,47.61,9.92,3.01,138.35,46.59,Medium,71,43,21,85,255,8,Partial Shade,Sandy,6.9,Good,Indoor,Small,Low,Rare,Decoration,Banyan
Urban,109,29.2,50.12,12.27,6.09,179.62,53.22,High,10,80,30,69,168,5,Full Sun,Loamy,6.4,Good,Balcony,Medium,High,Regular,Air Purification,Guava
Urban,74,12.22,28.77,12.56,3.45,127.19,35.51,Medium,68,57,30,59,19,0,Partial Shade,Sandy,5.6,Good,Indoor,Medium,Medium,Frequent,Shade,Ashoka
Residential,69,26.12,23.7,6.1,1.67,102.45,42.89,Medium,68,50,27,76,134,0,Partial Shade,Clay,7.9,Moderate,Indoor,Small,Low,Rare,Air Purification,Peepal
Residential,83,28.56,32.58,2.78,1.52,133.14,50.39,Medium,32,65,22,43,64,13,Full Sun,Loamy,7.1,Good,Outdoor,Medium,Medium,Rare,Air Purification,Ashoka
Residential,76,18.96,37.51,5.6,4.61,118.88,36.47,Medium,33,49,21,69,301,4,Partial Shade,Clay,6.5,Moderate,Balcony,Medium,Low,Rare,Shade,Mango
Urban,103,25.73,32.51,15.82,5.34,130.33,41.52,High,15,100,42,92,148,2,Partial Shade,Loamy,6.9,Good,Indoor,Small,High,Frequent,Air Purification,Guava
Residential,110,49.88,53.6,13.29,5.74,177.42,58.43,Low,65,22,23,69,221,6,Partial Shade,Sandy,5.7,Good,Indoor,Large,Medium,Frequent,Shade,Peepal
Residential,87,33.49,41.12,8.35,0.5,140.52,33.26,High,29,68,31,64,159,0,Full Sun,Loamy,6.3,Good,Indoor,Small,Medium,Regular,Decoration,Ashoka
Urban,106,37.1,58.82,11.78,3.78,154.2,44.89,High,5,78,33,41,41,15,Full Sun,Clay,6.2,Moderate,Outdoor,Large,High,Frequent,Edible,Guava
Residential,45,30.02,28.51,4.99,4.03,129.06,27.06,Medium,87,66,21,55,134,13,Full Sun,Loamy,7.7,Moderate,Outdoor,Medium,Low,Rare,Air Purification,Mango
Urban,63,28.92,24.68,10.82,0.54,117.71,32.16,High,11,89,30,59,88,1,Full Sun,Loamy,7.1,Good,Balcony,Small,High,Regular,Shade,Jamun
Urban,65,34.07,17.77,9.2,3.6,138.88,43.94,High,15,77,24,52,170,11,Partial Shade,Loamy,7.2,Moderate,Balcony,Medium,Medium,Regular,Edible,Arjun
Rural,83,22.31,32.29,8.35,2.46,114.79,52.65,Low,55,26,21,76,209,12,Partial Shade,Sandy,6.2,Good,Outdoor,Large,Medium,Frequent,Edible,Peepal
Rural,47,10.21,34.79,9.9,0.8,85.39,40.06,High,36,93,29,36,0,18,Full Sun,Clay,7.1,Moderate,Outdoor,Large,Medium,Regular,Decoration,Jamun
Rural,85,33.75,42.05,14.36,2.26,135.72,38.64,Low,100,38,24,80,211,2,Partial Shade,Loamy,6.2,Good,Indoor,Small,Medium,Regular,Decoration,Mango
Urban,83,31.88,43.64,5.79,5.66,135.56,55.0,High,34,98,26,54,100,3,Full Sun,Clay,7.0,Moderate,Indoor,Medium,Low,Frequent,Edible,Banyan
Urban,45,24.35,17.87,2.45,3.49,103.09,23.41,Medium,45,65,36,49,85,0,Full Sun,Clay,7.0,Good,Outdoor,Medium,Medium,Regular,Edible,Jamun
Urban,69,14.99,36.86,17.81,2.69,138.58,41.79,High,21,77,34,37,44,17,Full Sun,Loamy,6.7,Moderate,Outdoor,Large,Medium,Regular,Edible,Peepal
Residential,86,34.6,27.96,12.24,6.68,201.83,46.82,Low,97,46,23,80,196,0,Partial Shade,Sandy,6.3,Good,Indoor,Large,High,Frequent,Air Purification,Ashoka
Rural,107,43.25,56.42,18.31,1.32,127.6,62.85,Medium,45,37,32,73,75,7,Full Shade,Loamy,6.9,Good,Indoor,Large,Low,Regular,Edible,Karanj
Rural,132,51.18,50.2,17.45,3.8,169.37,63.76,High,36,59,24,70,387,19,Full Sun,Sandy,5.1,Good,Outdoor,Large,High,Frequent,Decoration,Karanj
Urban,150,49.06,51.2,17.34,7.7,204.7,77.83,High,5,70,30,44,0,15,Full Sun,Loamy,7.2,Good,Balcony,Large,Low,Rare,Air Purification,Karanj
Urban,87,33.82,58.64,2.0,3.14,172.79,39.75,High,15,91,34,63,124,4,Partial Shade,Loamy,7.1,Good,Indoor,Medium,Low,Rare,Edible,Jamun
Residential,64,18.47,31.96,2.88,2.41,111.71,44.47,Low,57,17,26,63,123,11,Full Sun,Clay,6.6,Moderate,Outdoor,Large,Medium,Regular,Shade,Arjun
Residential,33,11.13,18.72,7.57,1.61,85.95,36.54,Low,80,37,30,48,213,8,Partial Shade,Clay,7.7,Good,Balcony,Small,Low,Rare,Edible,Ashoka
Rural,85,23.79,24.74,6.03,2.66,128.33,49.02,Medium,71,52,31,55,185,10,Full Sun,Loamy,6.5,Moderate,Outdoor,Large,Low,Regular,Decoration,Ashoka
Residential,74,21.87,40.06,8.07,4.41,134.8,35.92,High,16,73,19,58,209,5,Partial Shade,Sandy,5.8,Good,Balcony,Small,Low,Rare,Air Purification,Peepal
Residential,79,26.62,44.27,12.75,1.93,129.48,41.38,Low,44,35,23,33,72,11,Full Sun,Loamy,6.5,Poor,Outdoor,Medium,Low,Rare,Air Purification,Karanj
Residential,72,22.81,32.65,9.02,6.99,138.07,45.45,Medium,39,61,27,71,164,7,Partial Shade,Loamy,7.2,Moderate,Indoor,Small,Low,Frequent,Air Purification,Arjun
Residential,85,25.5,46.82,11.25,1.23,157.76,50.6,Medium,31,37,25,68,262,3,Partial Shade,Loamy,7.1,Good,Indoor,Medium,Medium,Rare,Shade,Karanj
Urban,97,26.21,54.1,16.28,6.25,140.25,42.35,Low,90,44,22,47,90,7,Full Shade,Clay,7.6,Moderate,Indoor,Small,Low,Regular,Decoration,Guava
Residential,93,44.46,47.27,16.32,4.83,160.5,39.81,High,5,81,17,66,100,4,Partial Shade,Clay,6.5,Moderate,Indoor,Small,Medium,Regular,Decoration,Neem
Residential,68,21.44,15.23,7.89,1.82,106.03,48.67,Medium,59,41,37,88,156,14,Full Sun,Sandy,6.0,Moderate,Outdoor,Large,Medium,Regular,Decoration,Mango
