AreaType,AQI,PM2.5,PM10,NO2,SO2,CO,O3,TrafficDensity,RoadDistance,DustIndex,Temperature,Humidity,Rainfall,WindSpeed,Sunlight,SoilType,SoilPH,Drainage,SpaceType,AreaSize,MaintenanceLevel,WateringPreference,Purpose,RecommendedPlant
Urban,54,19.8,44.2,6.4,3.0,0.19,49.0,Low,74,30,30,72,248,8,Full Shade,Loamy,6.7,Moderate,Balcony,Medium,Medium,Regular,Edible,Tulsi
Residential,82,29.7,58.9,7.0,2.8,0.3,61.1,Medium,30,42,35,72,247,8,Full Sun,Loamy,6.9,Moderate,Balcony,Small,Low,Regular,Decoration,Ashoka
Residential,52,21.7,52.8,4.7,1.9,0.19,47.4,Medium,46,55,23,25,0,7,Partial Shade,Sandy,6.8,Good,Balcony,Large,Low,Rare,Decoration,ZZ Plant
Urban,104,33.8,75.5,11.1,3.1,0.41,58.5,High,13,77,34,60,53,10,Partial Shade,Sandy,6.3,Moderate,Balcony,Large,Low,Regular,Air Purification,Neem
Rural,87,30.1,69.0,8.5,2.4,0.32,60.4,High,5,70,30,38,176,11,Partial Shade,Sandy,6.3,Good,Outdoor,Medium,Low,Regular,Air Purification,Neem
Residential,52,24.9,43.4,3.7,2.1,0.15,42.1,Low,77,36,24,52,185,1,Partial Shade,Loamy,7.4,Good,Indoor,Medium,High,Frequent,Shade,Spider Plant
Residential,58,22.4,49.8,5.6,2.8,0.24,58.2,Low,67,58,26,51,151,10,Full Sun,Loamy,6.9,Good,Outdoor,Large,Low,Rare,Shade,Banyan
Urban,79,24.5,63.4,7.3,4.4,0.28,63.2,Medium,5,42,34,47,0,8,Full Sun,Loamy,6.9,Moderate,Balcony,Small,Medium,Regular,Air Purification,Tulsi
Rural,35,16.1,35.8,2.2,1.6,0.15,53.4,Low,52,18,29,70,191,16,Full Sun,Loamy,6.5,Good,Outdoor,Small,Low,Rare,Air Purification,Tulsi
Residential,87,28.8,68.5,9.4,3.3,0.36,61.5,High,22,77,30,70,174,14,Full Sun,Sandy,6.3,Good,Outdoor,Large,Medium,Regular,Decoration,Ashoka
Urban,66,24.8,55.1,7.5,3.5,0.25,56.3,Medium,52,70,35,64,152,0,Full Sun,Loamy,6.5,Moderate,Balcony,Large,Low,Rare,Shade,Peepal
Residential,86,29.3,73.7,8.2,3.8,0.35,64.8,High,30,64,27,42,68,13,Full Sun,Clay,6.4,Moderate,Outdoor,Medium,Medium,Regular,Edible,Guava
Residential,78,32.8,54.4,8.8,3.0,0.28,63.1,Medium,41,36,30,43,121,3,Full Sun,Loamy,6.8,Good,Balcony,Large,Medium,Frequent,Air Purification,Neem
Rural,68,26.2,57.2,6.0,2.8,0.22,51.4,Medium,54,62,24,93,286,17,Partial Shade,Loamy,7.2,Good,Outdoor,Large,Medium,Regular,Air Purification,Bamboo
Urban,105,33.9,74.0,9.1,3.6,0.39,58.0,High,7,80,28,68,163,0,Full Sun,Loamy,6.6,Moderate,Indoor,Medium,Low,Regular,Shade,Money Plant
Residential,81,28.7,59.7,8.4,3.0,0.29,64.4,Medium,38,67,28,72,206,11,Partial Shade,Sandy,6.4,Good,Balcony,Large,Low,Rare,Air Purification,Snake Plant
Urban,73,25.7,57.6,7.6,2.4,0.29,46.5,Medium,43,51,28,25,1,1,Partial Shade,Sandy,5.6,Good,Indoor,Small,Medium,Rare,Decoration,ZZ Plant
Urban,83,30.2,64.2,7.5,3.1,0.28,44.3,Medium,28,81,38,70,306,0,Full Shade,Clay,6.4,Moderate,Indoor,Medium,High,Rare,Air Purification,Peace Lily
Urban,105,33.3,78.7,11.3,3.8,0.37,61.8,High,27,92,38,68,106,6,Full Sun,Loamy,6.9,Good,Outdoor,Large,Medium,Rare,Shade,Banyan
Rural,35,17.7,40.9,2.8,1.6,0.12,44.9,Low,71,25,35,67,120,5,Partial Shade,Loamy,6.6,Good,Outdoor,Large,High,Frequent,Shade,Banyan
Residential,54,21.1,44.8,6.2,2.3,0.18,57.3,Low,98,52,31,73,202,6,Partial Shade,Loamy,6.9,Good,Balcony,Medium,Low,Regular,Decoration,Areca Palm
Residential,61,22.0,40.3,6.8,2.7,0.23,42.3,Medium,60,36,26,45,0,4,Partial Shade,Clay,6.5,Moderate,Balcony,Large,Low,Rare,Edible,Aloe Vera
Residential,75,28.1,57.9,6.1,2.7,0.29,52.0,Medium,31,48,32,55,9,11,Full Sun,Clay,6.3,Moderate,Outdoor,Medium,High,Rare,Air Purification,Peepal
Rural,47,17.9,43.9,3.3,2.0,0.21,52.4,Low,100,34,29,43,130,9,Partial Shade,Sandy,6.7,Moderate,Outdoor,Large,Medium,Regular,Edible,Mango
Rural,70,26.0,58.0,7.1,2.6,0.3,60.9,Medium,18,60,33,87,298,14,Partial Shade,Clay,6.3,Moderate,Outdoor,Medium,Low,Frequent,Shade,Bamboo
Residential,62,26.3,50.9,6.2,2.1,0.22,56.8,Medium,79,62,26,41,194,10,Partial Shade,Loamy,7.0,Moderate,Outdoor,Medium,High,Frequent,Air Purification,Peepal
Residential,73,23.1,59.6,8.0,3.0,0.29,58.8,Medium,41,52,34,74,262,9,Full Sun,Clay,7.6,Poor,Balcony,Large,Low,Rare,Air Purification,Neem
Urban,80,28.1,66.4,7.7,3.1,0.32,51.1,Medium,50,91,24,77,257,7,Partial Shade,Clay,6.9,Moderate,Indoor,Medium,Medium,Rare,Air Purification,Peace Lily
Residential,72,25.6,66.2,6.0,2.5,0.31,61.9,Medium,47,69,24,25,4,11,Full Sun,Loamy,5.7,Good,Outdoor,Large,Medium,Regular,Decoration,Bougainvillea
Rural,59,20.9,47.3,7.2,2.3,0.22,59.2,Medium,25,54,26,44,68,7,Full Sun,Sandy,6.6,Good,Outdoor,Medium,Low,Rare,Air Purification,Neem
Rural,41,18.6,40.7,3.7,0.6,0.17,55.5,Low,47,10,35,34,140,11,Full Sun,Loamy,6.6,Good,Outdoor,Medium,Medium,Frequent,Shade,Peepal
Residential,93,26.2,63.2,9.4,3.1,0.33,61.6,High,16,54,31,78,160,4,Full Sun,Clay,7.2,Poor,Balcony,Small,High,Regular,Decoration,Tulsi
Urban,91,27.8,68.4,10.5,2.5,0.36,65.4,High,20,80,31,44,189,11,Partial Shade,Sandy,6.3,Moderate,Outdoor,Large,Low,Frequent,Shade,Neem
Rural,40,16.8,42.8,4.8,0.9,0.14,58.9,Low,78,34,28,57,101,13,Full Sun,Loamy,7.4,Good,Outdoor,Large,Medium,Frequent,Air Purification,Neem
Rural,82,31.2,53.5,10.2,3.0,0.36,52.6,High,30,71,19,55,201,15,Partial Shade,Loamy,7.2,Good,Outdoor,Medium,Medium,Regular,Decoration,Ashoka
Rural,42,15.8,43.7,4.4,1.5,0.15,46.2,Low,71,29,18,51,242,17,Full Sun,Loamy,6.6,Moderate,Outdoor,Large,Medium,Frequent,Air Purification,Peepal
Rural,58,16.9,50.5,6.3,1.8,0.22,40.0,Medium,43,31,27,63,197,4,Partial Shade,Sandy,6.5,Good,Indoor,Large,Low,Rare,Decoration,Spider Plant
Residential,65,24.5,48.9,6.2,2.5,0.19,59.4,Medium,23,60,29,37,9,5,Full Sun,Loamy,7.8,Good,Balcony,Medium,Low,Regular,Decoration,Bougainvillea
Residential,92,33.4,67.7,8.0,3.0,0.32,64.4,Medium,21,68,27,60,90,1,Full Sun,Loamy,6.4,Good,Balcony,Large,High,Frequent,Shade,Banyan
Residential,66,25.7,49.1,6.2,2.2,0.23,59.5,Medium,57,46,35,47,188,9,Partial Shade,Sandy,6.4,Good,Outdoor,Medium,Low,Rare,Decoration,Bougainvillea
Residential,82,30.2,61.5,6.9,3.1,0.26,68.6,Medium,96,50,25,57,230,11,Full Sun,Sandy,5.7,Moderate,Outdoor,Medium,Medium,Regular,Shade,Banyan
Residential,74,24.5,56.5,7.7,2.6,0.26,50.7,Medium,12,51,28,66,176,1,Partial Shade,Clay,6.9,Moderate,Indoor,Medium,Low,Rare,Shade,Snake Plant
Rural,49,15.6,42.4,5.2,2.6,0.15,53.8,Low,65,10,32,77,259,15,Full Sun,Loamy,7.2,Good,Outdoor,Large,Low,Regular,Air Purification,Coconut
Urban,80,28.0,55.5,8.0,3.2,0.3,53.7,Medium,21,39,30,53,194,1,Partial Shade,Sandy,5.8,Good,Indoor,Medium,Low,Rare,Decoration,Snake Plant
Urban,93,29.4,63.5,10.4,4.6,0.4,53.1,High,24,93,29,58,174,4,Partial Shade,Loamy,6.4,Good,Balcony,Medium,High,Rare,Decoration,Areca Palm
Residential,68,21.4,51.2,7.7,2.8,0.25,61.7,Medium,40,48,26,25,42,1,Full Sun,Sandy,6.5,Moderate,Balcony,Medium,Medium,Rare,Decoration,Bougainvillea
Urban,105,33.5,69.0,10.3,3.5,0.42,64.4,High,5,70,29,69,207,5,Full Sun,Sandy,5.4,Good,Indoor,Large,Medium,Regular,Decoration,Ashoka
Residential,84,33.0,61.9,9.3,2.1,0.32,63.4,High,13,53,30,25,33,8,Full Sun,Loamy,6.3,Moderate,Outdoor,Medium,Medium,Frequent,Shade,Peepal
Residential,100,29.2,74.7,8.9,3.6,0.42,68.2,High,34,72,31,51,132,10,Full Sun,Sandy,6.3,Good,Outdoor,Medium,Medium,Rare,Shade,Neem
Rural,44,23.4,38.5,3.6,1.9,0.17,39.4,Low,72,35,28,75,192,13,Full Shade,Sandy,6.3,Good,Outdoor,Large,Low,Regular,Air Purification,Bamboo
Urban,82,28.1,57.3,6.8,3.6,0.23,53.0,Medium,55,69,31,54,117,1,Partial Shade,Clay,6.6,Moderate,Indoor,Small,Low,Frequent,Shade,Snake Plant
Rural,48,17.9,35.1,5.1,1.2,0.2,67.4,Low,56,13,33,92,243,8,Full Sun,Loamy,7.0,Moderate,Outdoor,Small,Medium,Regular,Shade,Coconut
Urban,93,26.9,69.3,9.9,3.0,0.36,54.7,High,19,89,29,74,124,0,Partial Shade,Sandy,6.1,Poor,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Urban,73,23.4,49.2,7.7,3.2,0.19,56.8,Low,72,53,34,69,159,6,Full Sun,Clay,7.4,Poor,Balcony,Small,Medium,Regular,Air Purification,Peepal
Rural,63,21.1,51.9,6.4,2.4,0.3,51.5,Medium,47,53,29,58,145,15,Partial Shade,Loamy,6.9,Good,Outdoor,Large,Medium,Regular,Shade,Banyan
Rural,41,19.5,37.4,4.0,1.6,0.17,43.2,Low,100,35,35,63,161,0,Full Sun,Clay,6.7,Good,Indoor,Medium,Low,Regular,Air Purification,Tulsi
Rural,48,18.1,41.4,4.2,1.2,0.18,54.8,Low,92,64,35,75,230,5,Full Sun,Loamy,6.4,Good,Outdoor,Large,High,Regular,Shade,Coconut
Urban,65,17.9,49.3,5.8,2.7,0.2,45.9,Low,83,32,28,94,331,0,Partial Shade,Loamy,6.7,Poor,Indoor,Small,High,Regular,Decoration,Peace Lily
Residential,60,22.8,47.3,6.3,1.9,0.2,52.3,Medium,45,55,36,75,309,2,Full Sun,Clay,6.7,Good,Indoor,Medium,Medium,Frequent,Air Purification,Peace Lily
Urban,98,30.6,64.5,9.6,3.8,0.4,46.9,High,42,73,29,48,34,0,Full Shade,Loamy,7.1,Moderate,Indoor,Small,Low,Regular,Shade,Snake Plant
Residential,69,26.0,51.2,7.4,3.0,0.26,45.4,Medium,59,62,31,60,121,10,Full Sun,Loamy,5.9,Good,Outdoor,Medium,High,Rare,Decoration,Ashoka
Urban,105,37.3,87.3,10.2,3.8,0.39,54.9,High,28,97,40,53,202,6,Partial Shade,Clay,6.8,Good,Indoor,Medium,Medium,Frequent,Air Purification,Spider Plant
Urban,97,33.4,76.2,11.1,3.8,0.31,67.7,High,27,80,38,63,145,12,Full Sun,Sandy,7.3,Poor,Outdoor,Large,High,Rare,Shade,Neem
Residential,61,19.3,47.5,4.9,3.1,0.22,56.4,Low,97,33,32,79,240,3,Partial Shade,Loamy,6.6,Good,Outdoor,Large,Medium,Frequent,Shade,Coconut
Rural,84,26.7,64.3,9.0,3.7,0.33,51.5,High,47,83,27,95,216,10,Full Sun,Loamy,6.3,Good,Outdoor,Medium,Medium,Frequent,Decoration,Ashoka
Residential,74,23.3,56.3,7.2,2.4,0.28,48.3,Medium,10,63,31,77,247,0,Partial Shade,Sandy,6.4,Good,Indoor,Medium,High,Frequent,Edible,Peace Lily
Residential,93,33.3,60.9,8.4,3.1,0.4,62.5,High,5,88,26,54,290,16,Full Sun,Loamy,6.4,Good,Outdoor,Large,High,Frequent,Air Purification,Peepal
Urban,73,27.7,60.6,9.3,2.9,0.26,49.5,Medium,63,61,25,53,17,1,Full Shade,Loamy,7.0,Good,Indoor,Medium,Medium,Frequent,Decoration,ZZ Plant
Urban,73,26.2,54.3,6.1,2.9,0.25,52.7,Low,49,35,24,46,0,0,Partial Shade,Sandy,6.1,Good,Indoor,Large,Low,Rare,Air Purification,Snake Plant
Residential,76,24.3,62.4,9.2,2.7,0.22,50.3,Medium,70,55,26,69,160,14,Full Shade,Clay,6.7,Moderate,Outdoor,Large,Medium,Rare,Decoration,Ashoka
Urban,90,31.3,59.0,8.4,4.5,0.31,45.7,Medium,59,64,27,84,282,0,Partial Shade,Sandy,6.3,Moderate,Indoor,Small,Medium,Regular,Air Purification,Areca Palm
Urban,64,25.2,51.7,5.3,2.7,0.26,46.3,Low,81,51,35,25,28,12,Partial Shade,Loamy,6.9,Good,Outdoor,Medium,High,Frequent,Decoration,Bougainvillea
Residential,91,26.9,71.2,11.5,3.5,0.39,54.8,High,50,89,30,81,144,0,Partial Shade,Loamy,6.8,Good,Indoor,Medium,High,Frequent,Shade,Areca Palm
Residential,75,28.1,52.0,6.7,3.4,0.28,51.9,Medium,51,62,34,76,158,8,Full Sun,Loamy,7.7,Moderate,Outdoor,Medium,Medium,Frequent,Decoration,Peepal
Urban,105,31.3,79.3,10.3,3.7,0.43,64.1,High,13,61,22,57,198,7,Partial Shade,Sandy,6.3,Moderate,Outdoor,Medium,Low,Regular,Decoration,Spider Plant
Urban,90,28.1,73.1,9.5,4.4,0.34,61.1,High,32,76,35,51,109,12,Partial Shade,Sandy,6.3,Poor,Outdoor,Large,High,Frequent,Air Purification,Neem
Urban,76,25.1,56.9,7.0,3.5,0.31,54.6,Medium,39,46,32,39,44,4,Partial Shade,Sandy,6.4,Poor,Balcony,Large,Medium,Regular,Shade,Peepal
Urban,97,33.1,71.9,11.3,4.3,0.38,52.0,High,16,98,22,42,123,0,Full Shade,Clay,6.4,Good,Indoor,Medium,Medium,Frequent,Decoration,ZZ Plant
Rural,46,17.8,43.2,3.4,1.9,0.2,46.3,Low,69,16,28,69,175,11,Full Sun,Loamy,6.7,Moderate,Outdoor,Small,High,Regular,Decoration,Ashoka
Residential,81,26.8,56.9,8.7,3.5,0.31,53.7,Medium,41,84,30,50,112,8,Full Sun,Loamy,6.3,Moderate,Indoor,Small,High,Frequent,Decoration,Ashoka
Rural,63,18.1,57.5,7.1,2.7,0.26,60.5,Medium,16,44,32,64,253,12,Full Sun,Loamy,6.5,Good,Balcony,Small,High,Regular,Air Purification,Tulsi
Residential,81,27.1,57.2,7.5,3.5,0.31,64.3,Medium,45,54,35,62,177,9,Full Sun,Loamy,6.5,Good,Outdoor,Small,Low,Regular,Shade,Banyan
Urban,60,18.0,51.5,6.0,3.1,0.16,58.5,Low,63,38,33,33,9,8,Full Sun,Sandy,6.3,Poor,Outdoor,Medium,Medium,Regular,Shade,Bougainvillea
Urban,64,25.8,53.6,6.3,2.5,0.19,55.5,Low,80,46,28,63,187,11,Full Sun,Sandy,6.3,Poor,Balcony,Large,High,Regular,Shade,Banyan
Residential,61,23.6,55.9,6.3,2.6,0.19,54.4,Medium,56,46,28,32,65,19,Full Sun,Loamy,6.2,Moderate,Balcony,Small,Low,Rare,Decoration,Bougainvillea
Urban,60,23.1,48.8,4.9,2.4,0.17,55.6,Low,79,45,37,65,110,0,Full Sun,Loamy,6.6,Good,Indoor,Small,Low,Regular,Air Purification,Snake Plant
Residential,84,32.0,69.2,7.3,3.5,0.28,59.5,Medium,79,55,23,60,202,0,Partial Shade,Sandy,6.5,Moderate,Balcony,Medium,High,Regular,Shade,Bamboo
Rural,84,31.8,63.5,7.9,2.9,0.3,69.7,Medium,13,67,34,25,108,10,Full Sun,Sandy,6.0,Moderate,Outdoor,Large,High,Rare,Shade,Neem
Residential,96,27.8,75.7,9.5,4.4,0.37,65.7,High,5,75,29,86,168,8,Partial Shade,Loamy,6.4,Moderate,Balcony,Medium,Medium,Regular,Air Purification,Areca Palm
Residential,99,32.3,75.1,10.8,4.3,0.38,66.5,High,25,59,28,81,297,0,Partial Shade,Clay,7.1,Moderate,Indoor,Small,High,Regular,Edible,Peace Lily
Residential,54,20.9,50.1,4.5,1.8,0.21,49.6,Low,65,44,25,53,0,20,Full Shade,Clay,6.8,Poor,Outdoor,Medium,High,Frequent,Edible,Mango
Rural,92,32.2,69.0,9.7,2.7,0.36,55.9,High,18,77,20,62,90,0,Full Shade,Loamy,6.9,Good,Indoor,Medium,Low,Frequent,Air Purification,Snake Plant
Urban,102,36.3,74.1,12.0,4.0,0.38,62.5,High,5,78,26,47,103,8,Partial Shade,Loamy,6.4,Good,Outdoor,Medium,Low,Rare,Air Purification,ZZ Plant
Urban,98,33.9,65.8,9.5,3.9,0.4,71.1,High,12,70,24,55,0,7,Full Sun,Sandy,6.1,Moderate,Balcony,Large,Low,Rare,Decoration,Bougainvillea
Urban,76,27.7,65.0,8.8,3.6,0.28,64.1,Medium,46,72,36,68,220,7,Full Sun,Sandy,5.7,Moderate,Balcony,Medium,Medium,Rare,Decoration,Bougainvillea
Urban,93,28.3,73.7,10.7,4.0,0.41,53.6,High,32,75,32,57,41,1,Partial Shade,Sandy,6.0,Good,Indoor,Medium,High,Frequent,Shade,Snake Plant
Residential,44,15.7,39.0,4.6,2.1,0.18,46.8,Low,59,26,24,66,210,18,Partial Shade,Clay,6.9,Poor,Balcony,Medium,Low,Regular,Edible,Tulsi
Residential,92,32.0,61.2,9.0,2.9,0.35,58.1,High,27,63,34,70,167,1,Full Sun,Loamy,6.4,Moderate,Balcony,Small,Medium,Frequent,Decoration,Areca Palm
Urban,105,32.7,75.0,10.8,4.4,0.37,65.7,High,28,79,37,71,81,3,Full Sun,Sandy,6.4,Good,Indoor,Small,Medium,Frequent,Edible,Tulsi
Rural,74,24.1,58.1,8.2,3.0,0.29,55.1,Medium,19,45,25,67,164,18,Full Sun,Sandy,5.8,Good,Outdoor,Medium,Low,Frequent,Air Purification,Money Plant
Urban,76,26.0,59.9,6.6,3.3,0.32,58.5,Medium,38,67,32,54,0,3,Full Sun,Clay,7.7,Moderate,Balcony,Medium,Medium,Frequent,Decoration,Ashoka
Urban,105,33.3,81.4,9.7,4.6,0.38,52.5,High,13,100,34,39,0,4,Partial Shade,Clay,6.7,Moderate,Indoor,Medium,Low,Rare,Shade,Snake Plant
Urban,74,25.4,56.8,7.8,3.0,0.27,59.2,Medium,100,69,41,84,199,3,Full Sun,Loamy,7.0,Good,Indoor,Small,Low,Frequent,Air Purification,Money Plant
Urban,100,33.3,71.8,10.2,4.1,0.35,44.7,High,15,83,32,54,116,1,Full Shade,Sandy,5.5,Good,Indoor,Small,High,Regular,Shade,Snake Plant
Urban,91,29.9,64.6,7.9,3.7,0.33,56.2,High,14,51,32,61,188,0,Partial Shade,Loamy,6.5,Good,Indoor,Small,Low,Regular,Air Purification,Money Plant
Rural,43,17.4,41.3,4.0,1.4,0.12,47.2,Low,65,33,30,47,153,13,Partial Shade,Clay,7.8,Moderate,Outdoor,Large,Low,Rare,Edible,Guava
Rural,49,17.9,31.5,2.9,1.9,0.16,49.8,Low,43,15,33,65,102,15,Full Sun,Sandy,7.1,Good,Outdoor,Large,High,Frequent,Decoration,Coconut
Residential,86,25.4,65.1,8.8,3.1,0.34,63.6,High,34,56,29,87,200,17,Full Shade,Sandy,6.1,Moderate,Outdoor,Large,Medium,Frequent,Edible,Guava
Residential,68,25.8,53.4,5.7,1.9,0.22,57.2,Medium,71,45,31,89,334,12,Partial Shade,Clay,6.6,Moderate,Outdoor,Medium,Low,Regular,Shade,Coconut
Urban,105,36.2,79.0,11.4,4.2,0.4,56.0,High,20,77,20,72,89,5,Partial Shade,Sandy,6.7,Good,Indoor,Medium,Medium,Frequent,Decoration,Peace Lily
Residential,78,25.1,63.5,6.5,2.5,0.31,58.8,Medium,48,75,34,50,200,10,Partial Shade,Sandy,6.5,Good,Outdoor,Large,Medium,Regular,Decoration,Ashoka
Urban,70,26.4,50.7,7.0,2.8,0.25,49.7,Low,68,62,34,30,0,0,Full Sun,Loamy,7.3,Good,Indoor,Small,Low,Rare,Shade,Neem
Residential,91,28.5,70.2,9.8,2.6,0.35,66.2,High,37,72,23,52,268,10,Partial Shade,Loamy,6.9,Poor,Outdoor,Large,Medium,Regular,Edible,Guava
Urban,78,26.1,59.3,9.3,2.7,0.29,53.6,Medium,55,47,21,59,142,13,Partial Shade,Loamy,7.6,Good,Outdoor,Medium,High,Rare,Air Purification,Spider Plant
Rural,57,22.6,45.9,5.7,1.7,0.18,50.5,Low,96,31,31,71,400,15,Partial Shade,Sandy,5.6,Good,Outdoor,Medium,Medium,Rare,Air Purification,Bamboo
Rural,50,21.4,38.7,4.5,1.8,0.14,49.8,Low,71,19,32,84,164,17,Partial Shade,Loamy,7.0,Good,Outdoor,Large,Medium,Regular,Edible,Coconut
Rural,86,29.2,73.5,8.6,3.0,0.34,64.7,High,25,80,35,82,205,15,Full Sun,Clay,7.3,Poor,Outdoor,Large,Medium,Rare,Edible,Coconut
Urban,102,35.4,75.3,10.2,3.4,0.39,51.0,High,5,90,21,72,0,0,Partial Shade,Loamy,6.7,Good,Indoor,Medium,High,Regular,Air Purification,Money Plant
Residential,72,24.4,57.5,7.0,2.5,0.28,62.8,Medium,29,46,25,45,33,4,Full Sun,Loamy,6.9,Moderate,Balcony,Large,Low,Regular,Decoration,Bougainvillea
