AreaType,AQI,PM2.5,PM10,NO2,SO2,CO,O3,TrafficDensity,RoadDistance,DustIndex,Temperature,Humidity,Rainfall,WindSpeed,Sunlight,SoilType,SoilPH,Drainage,SpaceType,AreaSize,MaintenanceLevel,WateringPreference,Purpose,RecommendedPlant
Residential,88,22.8,47.2,14.5,6.3,0.68,84.6,Medium,129,15,19,37,317,8,Full Shade,Loamy,7.3,Moderate,Indoor,Medium,Low,Rare,Air Purification,Snake Plant
Residential,77,18.2,34.5,16.8,6.9,0.18,84.2,Medium,147,74,22,88,124,13,Partial Shade,Clay,5.8,Moderate,Balcony,Small,High,Regular,Air Purification,Areca Palm
Residential,40,39.0,76.0,13.9,0.6,0.27,59.9,High,130,27,41,61,391,8,Full Sun,Loamy,6.5,Good,Balcony,Small,Medium,Frequent,Air Purification,Bamboo
Urban,54,26.4,49.7,15.5,3.4,0.42,73.6,High,146,63,19,80,393,16,Full Shade,Loamy,5.4,Good,Indoor,Medium,Medium,Frequent,Air Purification,Peace Lily
Urban,68,12.7,26.2,12.6,0.6,0.6,68.1,Medium,125,20,22,90,103,5,Full Sun,Loamy,8.1,Moderate,Outdoor,Large,Medium,Regular,Air Purification,Banyan
Residential,54,36.5,71.2,4.6,5.1,0.16,81.0,Low,83,94,33,90,163,0,Full Sun,Sandy,5.7,Moderate,Balcony,Small,Low,Regular,Decoration,Bougainvillea
Residential,41,37.7,72.3,8.3,2.7,0.71,30.0,High,122,28,27,51,68,3,Full Sun,Sandy,7.3,Good,Balcony,Small,Low,Regular,Shade,Bamboo
Residential,42,17.6,38.6,11.9,2.5,0.7,66.3,Low,23,88,25,45,241,13,Partial Shade,Sandy,7.5,Moderate,Indoor,Medium,Low,Frequent,Decoration,Money Plant
Urban,94,37.8,72.7,8.8,2.0,0.59,74.1,Low,137,12,34,31,285,12,Partial Shade,Loamy,7.5,Moderate,Outdoor,Large,Low,Rare,Shade,Neem
Urban,87,37.6,72.8,8.7,6.8,0.71,58.6,Medium,91,80,36,71,235,20,Full Shade,Loamy,6.5,Moderate,Indoor,Medium,Medium,Rare,Air Purification,Snake Plant
Rural,94,15.1,27.4,11.1,7.6,0.35,47.4,High,55,62,38,63,374,16,Partial Shade,Clay,7.9,Moderate,Indoor,Medium,Medium,Frequent,Decoration,Spider Plant
Urban,93,42.9,84.5,13.2,7.6,0.15,79.9,Medium,16,12,18,91,180,15,Full Sun,Loamy,5.6,Good,Balcony,Small,Medium,Frequent,Air Purification,Bamboo
Urban,46,15.5,31.4,13.3,0.9,0.31,87.4,High,60,15,17,52,253,17,Partial Shade,Loamy,6.8,Poor,Balcony,Small,Low,Regular,Decoration,Money Plant
Residential,39,17.2,32.1,6.1,2.0,0.72,67.4,Low,114,98,28,67,355,18,Partial Shade,Sandy,5.3,Moderate,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Rural,33,30.0,56.0,1.7,7.5,0.51,77.1,Medium,89,78,21,34,164,3,Partial Shade,Loamy,7.4,Good,Balcony,Small,Medium,Rare,Decoration,Spider Plant
Urban,57,41.7,90.7,2.9,2.7,0.43,38.1,High,40,90,40,35,281,12,Full Shade,Loamy,8.1,Good,Balcony,Small,Low,Rare,Air Purification,Snake Plant
Residential,99,13.1,24.9,9.6,2.0,0.22,34.1,Low,32,30,29,94,80,14,Full Sun,Sandy,5.5,Moderate,Indoor,Medium,High,Rare,Shade,Snake Plant
Rural,36,13.3,25.6,10.1,0.7,0.31,57.8,Medium,58,68,27,44,59,13,Full Sun,Sandy,6.4,Poor,Balcony,Small,High,Rare,Shade,Bamboo
Rural,64,22.3,47.2,18.5,7.3,0.21,84.8,Medium,22,89,16,63,86,11,Partial Shade,Sandy,7.2,Good,Outdoor,Large,Medium,Rare,Shade,Neem
Rural,97,18.5,35.6,19.6,4.9,0.69,75.0,Medium,86,28,21,59,63,20,Full Sun,Sandy,7.9,Good,Outdoor,Large,Medium,Rare,Air Purification,Neem
Residential,32,19.0,36.7,5.6,6.3,0.24,75.4,Low,35,38,29,54,174,5,Partial Shade,Sandy,5.1,Moderate,Balcony,Small,Medium,Regular,Decoration,Spider Plant
Residential,98,20.1,39.5,12.1,5.9,0.24,45.6,High,49,40,25,72,318,18,Full Sun,Sandy,7.4,Good,Balcony,Small,Medium,Frequent,Decoration,Bougainvillea
Residential,103,37.9,80.7,10.7,4.9,0.11,74.4,Low,8,95,26,66,197,14,Full Sun,Sandy,5.9,Good,Indoor,Medium,Medium,Rare,Air Purification,Snake Plant
Residential,98,30.5,63.2,15.2,5.8,0.31,56.7,High,147,95,26,73,255,2,Partial Shade,Clay,5.9,Moderate,Indoor,Medium,Low,Frequent,Decoration,Money Plant
Residential,72,37.8,79.6,15.9,2.2,0.35,86.8,Medium,38,97,15,56,122,11,Partial Shade,Sandy,5.3,Good,Indoor,Medium,Medium,Frequent,Edible,Tulsi
Residential,68,23.6,46.6,4.2,4.4,0.48,47.0,High,145,52,38,79,311,19,Partial Shade,Loamy,7.2,Good,Indoor,Medium,Low,Frequent,Air Purification,Snake Plant
Rural,70,42.5,85.7,13.6,5.3,0.68,70.7,High,130,30,16,32,301,3,Full Sun,Loamy,6.0,Moderate,Outdoor,Large,Medium,Regular,Decoration,Ashoka
Residential,61,37.0,69.0,5.0,6.4,0.77,58.6,Medium,95,25,31,84,340,3,Partial Shade,Loamy,8.0,Moderate,Balcony,Small,Medium,Regular,Decoration,Spider Plant
Residential,79,28.4,59.8,13.8,6.8,0.32,54.1,Medium,72,84,31,84,262,11,Partial Shade,Loamy,7.5,Good,Balcony,Small,Low,Regular,Air Purification,Areca Palm
Urban,53,23.9,48.3,19.7,8.0,0.49,81.7,Medium,104,69,28,57,70,1,Full Shade,Clay,5.0,Good,Balcony,Small,Medium,Rare,Decoration,Spider Plant
Urban,47,41.8,87.3,15.1,1.4,0.78,85.8,High,13,33,36,37,63,0,Full Shade,Loamy,6.8,Poor,Indoor,Medium,Low,Regular,Decoration,ZZ Plant
Rural,54,38.9,79.5,16.7,2.8,0.7,54.6,Medium,133,79,15,85,139,3,Partial Shade,Clay,7.6,Moderate,Outdoor,Large,Medium,Regular,Shade,Mango
Rural,100,34.6,72.8,4.8,1.4,0.6,85.5,Medium,111,35,27,53,320,7,Full Shade,Sandy,7.1,Moderate,Outdoor,Large,Low,Frequent,Decoration,Bamboo
Urban,91,35.9,78.5,17.8,2.4,0.55,38.6,High,25,73,32,78,102,17,Full Shade,Sandy,6.1,Poor,Balcony,Small,Medium,Regular,Shade,Bamboo
Residential,73,35.3,72.0,11.8,7.6,0.11,33.3,Medium,113,85,36,49,109,15,Full Shade,Loamy,7.5,Moderate,Balcony,Small,High,Regular,Air Purification,Areca Palm
Urban,65,12.8,26.1,11.5,5.5,0.16,57.5,High,99,48,16,42,381,18,Partial Shade,Loamy,5.9,Good,Indoor,Medium,Medium,Regular,Shade,Areca Palm
Urban,42,26.3,50.5,13.7,7.5,0.73,65.7,High,61,27,26,69,83,18,Full Sun,Loamy,5.2,Good,Outdoor,Large,Low,Regular,Edible,Mango
Urban,86,11.9,24.7,13.1,3.1,0.55,75.1,High,50,13,32,48,146,12,Full Sun,Sandy,6.6,Moderate,Balcony,Small,Medium,Rare,Air Purification,Bamboo
Rural,66,29.4,54.8,11.9,4.3,0.12,52.6,Medium,31,10,17,58,54,16,Full Sun,Clay,6.8,Good,Outdoor,Large,Low,Rare,Edible,Guava
Residential,56,18.9,41.2,10.9,4.6,0.32,53.5,Low,73,83,24,75,280,1,Partial Shade,Clay,7.1,Moderate,Balcony,Small,Low,Regular,Air Purification,Areca Palm
Residential,30,14.5,31.0,11.0,3.3,0.69,51.0,Medium,97,84,21,55,378,14,Full Sun,Loamy,5.5,Good,Balcony,Small,High,Regular,Decoration,Bougainvillea
Rural,73,16.9,33.0,8.7,0.5,0.78,37.0,Medium,64,43,18,53,174,4,Partial Shade,Loamy,5.6,Moderate,Indoor,Medium,Low,Frequent,Decoration,Money Plant
Urban,104,12.4,23.4,6.5,5.7,0.43,86.0,Low,67,59,39,40,65,11,Full Shade,Loamy,6.3,Moderate,Indoor,Medium,Medium,Regular,Shade,Areca Palm
Residential,47,40.4,88.2,12.2,6.9,0.29,65.4,High,10,57,37,61,160,19,Full Sun,Loamy,6.6,Moderate,Outdoor,Large,Low,Rare,Decoration,Ashoka
Residential,69,32.0,58.3,18.7,3.1,0.72,46.8,High,22,85,19,68,85,15,Partial Shade,Loamy,6.3,Poor,Balcony,Small,Medium,Regular,Decoration,Spider Plant
Residential,47,29.0,53.1,12.1,1.9,0.64,46.9,Medium,120,91,33,50,119,13,Full Sun,Loamy,5.0,Good,Indoor,Medium,Low,Rare,Decoration,Areca Palm
Residential,68,22.7,45.3,16.0,1.1,0.7,73.1,Medium,81,99,20,37,299,2,Full Sun,Clay,7.6,Good,Indoor,Medium,High,Frequent,Air Purification,Areca Palm
Residential,94,37.5,74.7,15.7,3.7,0.19,55.0,High,43,36,25,73,228,13,Full Shade,Loamy,7.3,Moderate,Balcony,Small,High,Frequent,Shade,Bamboo
Residential,57,38.2,80.3,16.2,2.7,0.71,64.8,High,24,45,19,57,125,7,Partial Shade,Sandy,8.0,Good,Balcony,Small,Medium,Regular,Edible,Tulsi
Urban,70,22.5,44.6,8.0,6.8,0.46,89.3,High,41,62,39,53,363,1,Partial Shade,Clay,6.4,Moderate,Indoor,Medium,Low,Frequent,Air Purification,Snake Plant
Residential,82,22.6,48.8,12.1,6.7,0.17,41.8,Medium,36,36,29,78,214,9,Partial Shade,Clay,5.9,Good,Indoor,Medium,Medium,Regular,Air Purification,Peace Lily
Urban,73,36.8,74.5,8.7,3.6,0.39,85.0,High,138,23,40,82,314,19,Full Shade,Sandy,5.3,Good,Balcony,Small,Medium,Regular,Edible,Tulsi
Residential,32,11.9,22.6,16.5,5.1,0.32,70.1,Medium,43,28,32,64,367,11,Partial Shade,Loamy,6.9,Good,Balcony,Small,Low,Frequent,Decoration,Money Plant
Residential,69,21.0,42.1,1.2,1.1,0.45,84.3,Medium,144,32,27,80,364,6,Full Shade,Sandy,5.2,Good,Indoor,Medium,Low,Regular,Edible,Tulsi
Residential,83,40.9,75.8,13.5,4.9,0.45,63.4,Medium,51,85,28,30,163,5,Partial Shade,Clay,5.8,Good,Balcony,Small,Low,Rare,Air Purification,Snake Plant
Residential,101,22.9,46.8,19.9,1.8,0.36,50.2,Low,133,35,22,41,155,20,Full Sun,Sandy,7.1,Moderate,Outdoor,Large,Medium,Regular,Air Purification,Banyan
Residential,87,28.8,62.4,17.9,3.7,0.75,67.5,Low,120,79,27,35,185,4,Full Sun,Loamy,6.8,Good,Outdoor,Large,Medium,Frequent,Decoration,Ashoka
Residential,70,36.8,71.8,8.9,4.9,0.77,73.5,Medium,86,54,19,39,348,0,Full Shade,Clay,6.6,Good,Indoor,Medium,Low,Regular,Edible,Tulsi
Residential,32,18.1,32.9,11.2,5.4,0.35,43.4,Medium,5,81,21,70,125,11,Full Sun,Sandy,7.0,Good,Balcony,Small,High,Regular,Shade,Bamboo
Rural,37,13.4,28.1,2.2,2.6,0.62,69.7,Medium,41,12,39,90,326,2,Full Sun,Loamy,6.9,Moderate,Outdoor,Large,Medium,Frequent,Edible,Guava
Rural,41,39.2,81.0,16.3,0.6,0.48,76.1,Low,33,78,26,38,139,17,Full Sun,Clay,6.4,Moderate,Outdoor,Large,Medium,Frequent,Air Purification,Peepal
Residential,95,20.1,40.9,9.9,7.4,0.58,41.4,Low,25,91,21,92,393,19,Full Sun,Sandy,6.1,Good,Outdoor,Large,High,Rare,Decoration,Bougainvillea
Rural,101,29.7,62.2,9.9,6.7,0.52,73.9,High,77,69,41,65,62,15,Partial Shade,Loamy,5.2,Moderate,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Residential,38,28.1,57.4,17.7,2.3,0.78,38.8,Medium,22,88,30,72,301,18,Full Sun,Clay,7.9,Good,Balcony,Small,Medium,Regular,Shade,Bamboo
Residential,39,41.4,81.1,7.2,5.6,0.76,67.9,Medium,77,70,26,89,230,3,Full Sun,Clay,6.7,Moderate,Balcony,Small,Medium,Regular,Shade,Bamboo
Rural,53,23.5,49.3,7.0,5.1,0.26,76.2,Low,143,50,35,30,85,0,Full Shade,Loamy,5.3,Good,Balcony,Small,High,Frequent,Edible,Aloe Vera
Residential,77,19.9,41.2,4.7,0.5,0.41,75.1,High,109,64,35,43,303,10,Full Shade,Clay,7.2,Good,Outdoor,Large,Medium,Regular,Edible,Mango
Rural,77,31.1,62.2,8.7,4.0,0.43,51.0,Medium,104,38,18,93,179,20,Full Sun,Loamy,7.5,Moderate,Outdoor,Large,Low,Rare,Edible,Guava
Urban,67,26.8,53.2,17.4,5.2,0.56,82.0,High,23,90,36,60,200,17,Partial Shade,Sandy,6.2,Moderate,Indoor,Medium,Medium,Frequent,Air Purification,Peace Lily
Urban,34,39.8,86.4,6.0,1.9,0.15,78.2,High,86,63,29,48,74,9,Full Sun,Clay,7.8,Good,Indoor,Medium,Medium,Regular,Decoration,Areca Palm
Urban,95,20.6,38.8,13.4,1.0,0.68,82.4,Low,65,31,26,35,264,2,Partial Shade,Clay,7.1,Moderate,Indoor,Medium,Low,Frequent,Air Purification,Snake Plant
Residential,55,42.9,77.5,17.1,4.3,0.31,80.9,Low,11,52,39,35,269,19,Partial Shade,Clay,7.7,Poor,Indoor,Medium,Medium,Regular,Air Purification,Peace Lily
Rural,84,32.2,68.8,18.3,4.5,0.31,50.0,Low,36,99,41,58,75,9,Partial Shade,Sandy,7.9,Poor,Balcony,Small,Low,Regular,Air Purification,Areca Palm
Residential,74,15.4,31.6,10.6,6.0,0.74,57.6,High,95,75,36,78,99,2,Full Sun,Sandy,5.5,Good,Indoor,Medium,Low,Regular,Shade,Areca Palm
Urban,44,19.6,40.8,3.4,7.9,0.74,79.8,Low,85,18,21,49,144,14,Full Shade,Sandy,6.8,Moderate,Indoor,Medium,Medium,Rare,Air Purification,Snake Plant
Urban,72,37.4,74.5,3.1,6.0,0.42,81.3,Low,40,41,28,50,129,10,Full Sun,Clay,8.1,Good,Outdoor,Large,High,Regular,Edible,Mango
Rural,36,41.5,84.1,8.9,4.2,0.75,31.8,Low,117,75,31,56,259,17,Partial Shade,Sandy,7.6,Good,Outdoor,Large,Medium,Frequent,Shade,Neem
Residential,37,40.3,78.0,10.0,3.6,0.53,89.8,High,108,51,21,90,235,2,Partial Shade,Loamy,5.0,Good,Outdoor,Large,Low,Rare,Shade,Neem
Urban,51,9.1,19.3,8.8,5.8,0.25,88.3,Low,56,94,31,37,149,16,Full Sun,Loamy,5.2,Good,Indoor,Medium,Low,Rare,Shade,Snake Plant
Residential,104,11.5,21.1,16.9,1.2,0.23,43.1,High,92,47,19,68,162,16,Partial Shade,Loamy,6.0,Moderate,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Rural,30,17.6,36.4,5.3,6.3,0.25,34.5,High,122,43,27,70,134,8,Partial Shade,Clay,6.2,Moderate,Balcony,Small,Medium,Frequent,Shade,Bamboo
Urban,77,15.2,33.0,5.7,7.5,0.63,41.6,Medium,149,79,38,84,94,16,Partial Shade,Loamy,5.1,Poor,Balcony,Small,Medium,Frequent,Air Purification,Snake Plant
Residential,79,28.8,57.2,9.9,7.7,0.64,74.8,Medium,25,96,29,30,266,14,Full Shade,Loamy,6.9,Good,Outdoor,Large,Low,Frequent,Shade,Neem
Residential,69,33.1,66.5,4.0,1.1,0.55,58.6,Medium,16,22,15,45,383,15,Full Shade,Loamy,7.4,Good,Indoor,Medium,High,Rare,Decoration,Peace Lily
Urban,68,38.7,74.3,3.7,5.2,0.12,31.0,Low,53,39,21,80,354,4,Partial Shade,Loamy,6.2,Good,Indoor,Medium,Medium,Regular,Edible,Tulsi
Urban,99,11.1,22.7,11.4,4.4,0.52,30.6,High,98,94,28,80,164,8,Partial Shade,Clay,7.9,Moderate,Balcony,Small,Low,Regular,Decoration,Money Plant
Urban,70,38.5,72.2,12.4,3.5,0.73,32.3,High,29,32,35,69,67,7,Partial Shade,Sandy,7.5,Moderate,Balcony,Small,Low,Regular,Edible,Tulsi
Urban,62,12.8,26.8,3.0,5.7,0.66,43.8,Medium,15,64,31,46,164,2,Full Sun,Loamy,7.1,Moderate,Balcony,Small,Low,Frequent,Air Purification,Bamboo
Rural,70,41.7,82.7,7.5,5.0,0.75,85.2,High,14,80,38,91,219,7,Full Sun,Sandy,5.3,Good,Outdoor,Large,Medium,Rare,Decoration,Bougainvillea
Residential,32,23.9,50.0,16.2,1.5,0.32,64.4,High,29,25,39,49,254,5,Full Sun,Loamy,5.8,Good,Balcony,Small,Medium,Frequent,Air Purification,Bamboo
Rural,52,39.2,78.5,2.8,5.4,0.21,76.9,Medium,119,72,28,88,301,5,Partial Shade,Clay,7.1,Moderate,Outdoor,Large,Low,Rare,Shade,Neem
Residential,66,37.5,79.9,2.2,3.4,0.59,85.6,High,148,20,18,79,374,4,Full Sun,Clay,5.2,Good,Outdoor,Large,High,Regular,Shade,Mango
Residential,69,18.4,33.5,2.0,5.4,0.38,40.1,Medium,102,40,15,64,198,6,Full Shade,Sandy,6.9,Good,Indoor,Medium,Medium,Regular,Decoration,Peace Lily
Residential,69,15.6,31.3,4.3,4.8,0.44,87.4,High,46,89,37,53,247,5,Partial Shade,Clay,7.9,Poor,Outdoor,Large,Medium,Frequent,Edible,Guava
Residential,30,12.7,24.5,6.6,4.8,0.6,54.1,Medium,94,39,31,57,373,7,Full Sun,Sandy,6.1,Good,Outdoor,Large,Low,Regular,Decoration,Bougainvillea
Urban,92,33.6,65.3,8.2,7.2,0.43,75.2,Medium,146,11,23,59,256,4,Full Sun,Loamy,6.6,Poor,Indoor,Medium,Medium,Regular,Edible,Tulsi
Urban,100,19.5,40.1,1.9,4.8,0.47,39.5,High,62,84,40,82,117,4,Full Shade,Sandy,6.1,Moderate,Balcony,Small,Low,Regular,Air Purification,Areca Palm
Rural,77,35.2,67.2,8.9,2.7,0.13,72.7,Medium,56,52,29,44,227,1,Full Shade,Loamy,7.8,Moderate,Indoor,Medium,Medium,Regular,Shade,Areca Palm
Urban,46,22.2,46.1,11.1,3.2,0.39,67.0,High,96,18,24,51,53,9,Partial Shade,Sandy,5.8,Moderate,Outdoor,Large,Low,Regular,Air Purification,Neem
Rural,62,9.6,18.7,7.0,3.9,0.33,37.7,Medium,104,13,38,73,110,4,Partial Shade,Loamy,5.9,Moderate,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Residential,47,41.5,84.0,1.7,3.4,0.4,44.4,High,103,16,20,34,235,16,Partial Shade,Loamy,7.5,Good,Indoor,Medium,Medium,Regular,Edible,Tulsi
Residential,93,21.4,41.4,13.5,2.7,0.79,71.4,High,9,38,25,72,371,8,Partial Shade,Clay,5.8,Good,Outdoor,Large,Medium,Rare,Air Purification,Neem
Residential,36,33.6,72.3,3.0,7.9,0.18,34.8,Medium,105,38,30,30,92,20,Partial Shade,Loamy,5.0,Moderate,Balcony,Small,High,Regular,Shade,Bamboo
Residential,94,30.0,63.1,4.0,5.4,0.68,45.2,High,107,41,29,68,272,12,Partial Shade,Sandy,5.9,Good,Indoor,Medium,Medium,Regular,Shade,Areca Palm
Rural,52,32.9,66.5,5.8,1.8,0.3,36.9,Medium,24,61,38,61,60,0,Partial Shade,Sandy,7.2,Moderate,Indoor,Medium,Medium,Regular,Air Purification,Peace Lily
Urban,103,23.9,48.3,12.0,0.7,0.78,42.7,High,40,15,33,76,103,9,Full Sun,Loamy,7.1,Good,Indoor,Medium,Medium,Rare,Edible,Aloe Vera
Rural,71,22.9,46.6,7.6,7.8,0.7,69.6,Low,46,15,28,30,115,16,Full Shade,Sandy,7.6,Good,Indoor,Medium,Low,Frequent,Decoration,ZZ Plant
Urban,66,16.6,34.9,19.5,6.4,0.37,39.7,Medium,111,75,28,31,212,12,Partial Shade,Clay,6.5,Good,Indoor,Medium,Medium,Frequent,Edible,Tulsi
Residential,75,13.9,25.8,11.9,3.1,0.34,52.7,Low,141,54,22,62,242,14,Full Sun,Loamy,5.5,Moderate,Outdoor,Large,Medium,Frequent,Edible,Guava
Residential,84,15.0,30.5,4.3,5.2,0.71,61.5,Medium,146,40,35,63,244,9,Partial Shade,Sandy,7.9,Moderate,Indoor,Medium,Low,Frequent,Decoration,Money Plant
Urban,56,20.7,38.1,7.7,4.9,0.28,46.1,Medium,102,48,34,40,219,7,Full Sun,Loamy,5.0,Good,Outdoor,Large,Low,Regular,Decoration,Ashoka
Urban,80,34.9,67.8,4.8,3.0,0.39,50.2,Low,140,21,40,72,139,8,Partial Shade,Loamy,6.8,Good,Outdoor,Large,Medium,Rare,Decoration,Bamboo
Rural,89,9.8,21.0,19.8,8.0,0.11,77.9,Medium,44,59,22,86,80,9,Partial Shade,Sandy,7.3,Moderate,Indoor,Medium,Low,Rare,Air Purification,Snake Plant
Urban,89,27.0,54.5,1.6,2.7,0.51,54.4,Medium,116,98,25,52,276,12,Partial Shade,Loamy,6.2,Good,Indoor,Medium,Medium,Rare,Air Purification,Snake Plant
Rural,97,10.4,20.5,10.7,7.0,0.7,47.7,Medium,16,29,17,93,134,13,Partial Shade,Loamy,5.5,Good,Outdoor,Large,Medium,Regular,Shade,Mango
Urban,95,39.9,85.2,13.3,3.3,0.19,40.6,Low,119,49,32,60,204,16,Partial Shade,Sandy,6.2,Moderate,Indoor,Medium,Low,Regular,Shade,Areca Palm
Urban,105,38.1,78.9,3.8,5.4,0.29,87.2,High,65,11,24,67,389,9,Full Sun,Sandy,5.1,Good,Outdoor,Large,Medium,Regular,Air Purification,Banyan
Residential,101,39.6,85.0,19.6,2.9,0.71,44.9,High,98,58,19,59,119,6,Full Sun,Loamy,7.8,Good,Indoor,Medium,High,Regular,Shade,Areca Palm
Urban,61,10.5,19.1,10.9,7.4,0.28,48.0,High,82,72,23,66,320,15,Full Sun,Sandy,5.0,Moderate,Balcony,Small,Medium,Frequent,Air Purification,Bamboo
Urban,95,17.0,33.7,17.6,4.8,0.68,51.2,Medium,33,35,36,59,170,5,Full Sun,Sandy,8.1,Moderate,Indoor,Medium,Low,Frequent,Shade,Snake Plant
Urban,53,19.7,36.9,6.4,6.6,0.77,50.1,Low,56,77,30,76,159,5,Partial Shade,Clay,7.9,Poor,Indoor,Medium,Medium,Regular,Shade,Areca Palm
Residential,56,15.7,32.3,2.5,6.0,0.39,42.1,High,63,11,24,37,51,19,Full Sun,Sandy,7.7,Good,Outdoor,Large,Low,Rare,Shade,Neem
Urban,67,11.9,26.1,17.2,1.4,0.16,69.5,High,99,54,41,80,264,5,Full Shade,Sandy,7.4,Good,Indoor,Medium,Medium,Rare,Shade,Snake Plant
Urban,49,19.6,39.0,14.7,5.1,0.43,56.8,Medium,100,96,32,43,92,5,Full Sun,Loamy,6.1,Moderate,Indoor,Medium,Low,Regular,Decoration,Areca Palm
Urban,83,34.4,64.8,6.3,6.7,0.36,35.6,High,19,25,30,87,280,0,Partial Shade,Loamy,6.9,Moderate,Indoor,Medium,Low,Regular,Shade,Areca Palm
Rural,89,39.2,83.0,14.1,1.0,0.55,57.5,Medium,69,96,21,39,202,2,Full Sun,Sandy,7.8,Moderate,Outdoor,Large,Medium,Regular,Air Purification,Banyan
Urban,37,35.7,78.0,19.0,4.2,0.76,60.9,Low,133,22,15,68,248,17,Full Shade,Sandy,7.2,Poor,Balcony,Small,Low,Regular,Decoration,Money Plant
Residential,92,42.3,83.1,10.8,2.1,0.71,34.1,Low,31,56,19,34,345,11,Full Shade,Loamy,7.4,Good,Balcony,Small,Low,Rare,Shade,Bamboo
Rural,63,19.1,39.8,3.4,1.7,0.21,40.2,Low,89,53,16,67,346,10,Partial Shade,Sandy,6.1,Moderate,Balcony,Small,Low,Regular,Shade,Bamboo
Urban,91,15.7,31.9,18.8,7.4,0.19,86.5,High,60,41,24,65,368,3,Full Sun,Sandy,6.9,Moderate,Indoor,Medium,High,Regular,Air Purification,Areca Palm
Rural,54,41.1,80.7,13.2,4.7,0.27,51.5,Low,12,66,25,63,375,15,Full Shade,Loamy,6.9,Moderate,Balcony,Small,Medium,Rare,Air Purification,Snake Plant
Rural,99,27.0,56.1,4.8,6.4,0.78,65.2,High,78,52,34,89,167,1,Partial Shade,Sandy,7.2,Moderate,Outdoor,Large,Medium,Rare,Edible,Coconut
Urban,33,21.9,43.6,15.3,0.9,0.28,73.6,Medium,31,90,33,38,196,17,Partial Shade,Loamy,5.8,Moderate,Outdoor,Large,High,Frequent,Shade,Neem
Rural,44,14.9,31.8,14.0,3.2,0.4,34.4,Medium,46,64,19,89,368,4,Full Sun,Loamy,7.7,Moderate,Indoor,Medium,High,Regular,Air Purification,Areca Palm
Rural,69,27.7,57.4,16.1,2.0,0.27,48.6,Medium,83,72,28,69,215,2,Full Shade,Sandy,7.6,Moderate,Balcony,Small,Medium,Rare,Air Purification,Snake Plant
Rural,67,28.5,54.4,15.0,7.2,0.27,68.1,High,78,66,35,62,319,6,Full Shade,Loamy,7.7,Moderate,Balcony,Small,High,Regular,Edible,Tulsi
Residential,52,24.0,51.3,9.5,7.7,0.16,43.2,Medium,77,63,22,41,246,17,Partial Shade,Sandy,7.5,Moderate,Balcony,Small,Medium,Rare,Decoration,Spider Plant
Residential,74,28.1,59.1,19.5,7.7,0.26,49.3,Medium,92,19,37,92,218,15,Full Sun,Loamy,6.7,Good,Outdoor,Large,Low,Regular,Decoration,Ashoka
